transaction_id,merchant_id,timestamp,amount,currency,mcc,fee
T-20000,M-1001,2026-02-28T21:15:00Z,315.00,SAR,5411,5.3550
T-20001,M-1005,2026-03-01T00:28:22+03:00,1608.17,SAR,5541,24.1226
T-20002,M-1002,2026-02-28T21:55:00Z,132.00,SAR,5812,2.9040
T-20003,M-1005,2026-03-01T01:20:27+03:00,3463.03,SAR,5541,51.9455
T-20004,M-1001,2026-02-28T22:40:00Z,88.25,SAR,5411,1.5002
T-20005,M-1004,2026-02-28T22:58:13Z,2740.87,SAR,0742,54.8174
T-20006,M-1003,2026-03-01T02:30:40+03:00,2061.93,SAR,4511,35.0528
T-20007,M-1006,2026-03-01T00:18:13Z,1468.71,SAR,5999,30.8429
T-20008,M-1004,2026-03-01T03:46:51+03:00,3800.84,SAR,0742,76.0168
T-20009,M-1006,2026-03-01T03:27:36Z,4695.10,SAR,5999,98.5971
T-20010,M-1004,2026-03-01T03:52:09Z,4957.68,SAR,0742,99.1536
T-20011,M-1001,2026-03-01T08:22:40+03:00,847.19,USD,5411,14.4022
T-20012,M-1002,2026-03-01T10:56:55+03:00,4727.86,SAR,5812,104.0129
T-20013,M-1003,2026-03-01T16:12:59+03:00,1401.52,SAR,4511,23.8258
T-20014,M-1002,2026-03-01T16:29:02+03:00,3727.05,SAR,5812,81.9951
T-20015,M-1001,2026-03-01T17:18:48+03:00,4148.65,SAR,5411,70.5271
T-20016,M-1004,2026-03-01T17:52:52+03:00,3802.68,SAR,0742,76.0536
T-20017,M-1007,2026-03-01T19:45:22Z,4506.74,SAR,0763,85.6281
T-20018,M-1002,2026-03-02T00:30:24+03:00,3099.43,SAR,5812,68.1875
T-20019,M-1002,2026-03-02T01:33:41+03:00,4366.78,SAR,5812,96.0692
T-20020,M-1002,2026-03-02T06:08:05+03:00,493.81,SAR,5812,10.8638
T-20021,M-1006,2026-03-02T06:54:59+03:00,2957.54,SAR,5999,62.1083
T-20022,M-1005,2026-03-02T07:25:05+03:00,4769.91,SAR,5541,71.5487
T-20023,M-1007,2026-03-02T07:34:34+03:00,455.12,SAR,0763,8.6473
T-20024,M-1004,2026-03-02T12:17:35+03:00,333.90,SAR,0742,6.6780
T-20025,M-1002,2026-03-02T14:01:41+03:00,1228.60,SAR,5812,27.0292
T-20026,M-1002,2026-03-02T14:07:02+03:00,3634.05,SAR,5812,79.9491
T-20027,M-1005,2026-03-02T14:49:31Z,3252.26,SAR,5541,48.7839
T-20028,M-1001,2026-03-02T19:21:18+03:00,2597.77,SAR,5411,44.1621
T-20029,M-1001,2026-03-02T18:55:50Z,2326.18,SAR,5411,39.5451
T-20030,M-1006,2026-03-02T19:18:08Z,3262.34,SAR,5999,68.5091
T-20031,M-1008,2026-03-02T22:54:14+03:00,3969.35,SAR,5732,71.4483
T-20032,M-1006,2026-03-03T02:31:26+03:00,3827.84,SAR,5999,80.3846
T-20033,M-1002,2026-03-03T03:21:53+03:00,33.58,SAR,5812,0.7388
T-20034,M-1002,2026-03-03T03:42:50+03:00,3731.07,SAR,5812,82.0835
T-20035,M-1008,2026-03-03T06:53:40+03:00,4529.65,SAR,5732,81.5337
T-20036,M-1008,2026-03-03T09:08:26+03:00,4789.25,SAR,5732,86.2065
T-20037,M-1002,2026-03-03T11:11:06+03:00,498.90,SAR,5812,10.9758
T-20038,M-1001,2026-03-03T11:51:29+03:00,4532.91,SAR,5411,77.0595
T-20039,M-1004,2026-03-03T12:07:55+03:00,1082.23,SAR,0742,21.6446
T-20040,M-1006,2026-03-03T14:27:32+03:00,810.48,SAR,5999,17.0201
T-20041,M-1008,2026-03-03T12:06:50Z,3545.36,SAR,5732,63.8165
T-20042,M-1001,2026-03-03T15:31:38+03:00,3671.47,SAR,5411,62.4150
T-20043,M-1008,2026-03-03T17:10:20+03:00,1215.87,SAR,5732,21.8857
T-20044,M-1002,2026-03-03T14:23:01Z,1553.09,SAR,5812,34.1680
T-20045,M-1003,2026-03-03T17:18:54Z,878.17,SAR,4511,14.9289
T-20046,M-1005,2026-03-03T22:10:24+03:00,3211.22,SAR,5541,48.1683
T-20047,M-1001,2026-03-04T01:39:11+03:00,2449.09,SAR,5411,41.6345
T-20048,M-1001,2026-03-04T02:03:01+03:00,4094.04,SAR,5411,69.5987
T-20049,M-1001,2026-03-04T04:49:59Z,3555.05,SAR,5411,60.4359
T-20050,M-1003,2026-03-04T08:20:25+03:00,2667.69,SAR,4511,45.3507
T-20051,M-1001,2026-03-04T09:02:15+03:00,318.71,USD,5411,5.4181
T-20052,M-1001,2026-03-04T09:20:04+03:00,4156.90,SAR,5411,70.6673
T-20053,M-1004,2026-03-04T06:31:31Z,4989.83,SAR,0742,99.7966
T-20054,M-1002,2026-03-04T10:33:17+03:00,2710.65,SAR,5812,59.6343
T-20055,M-1004,2026-03-04T07:55:49Z,3618.87,SAR,0742,72.3774
T-20056,M-1007,2026-03-04T11:11:23+03:00,3208.60,SAR,0763,60.9634
T-20057,M-1002,2026-03-04T09:31:07Z,63.83,SAR,5812,1.4043
T-20058,M-1008,2026-03-04T12:51:03+03:00,2402.69,SAR,5732,43.2484
T-20059,M-1001,2026-03-04T15:39:55+03:00,3637.93,SAR,5411,61.8448
T-20060,M-1004,2026-03-04T18:16:28+03:00,3756.03,SAR,0742,75.1206
T-20061,M-1003,2026-03-04T19:48:31+03:00,2909.28,SAR,4511,49.4578
T-20062,M-1001,2026-03-04T20:00:17+03:00,2020.63,SAR,5411,34.3507
T-20063,M-1005,2026-03-04T21:20:11+03:00,4478.48,SAR,5541,67.1772
T-20064,M-1005,2026-03-04T18:52:47Z,740.47,SAR,5541,11.1071
T-20065,M-1001,2026-03-04T23:21:18Z,-2597.77,SAR,5411,0.0000
T-20066,M-1001,2026-03-05T00:47:36Z,4293.31,SAR,5411,72.9863
T-20067,M-1004,2026-03-05T06:35:49+03:00,1663.97,SAR,0742,33.2794
T-20068,M-1005,2026-03-05T10:18:18+03:00,2479.20,SAR,5541,37.1880
T-20069,M-1001,2026-03-05T09:24:54Z,2135.22,SAR,5411,36.2987
T-20070,M-1003,2026-03-05T12:35:47+03:00,1193.07,SAR,4511,20.2822
T-20071,M-1001,2026-03-05T12:39:32+03:00,4464.60,SAR,5411,75.8982
T-20072,M-1001,2026-03-05T13:09:46+03:00,2664.51,SAR,5411,45.2967
T-20073,M-1001,2026-03-05T13:55:57Z,1872.53,SAR,5411,31.8330
T-20074,M-1001,2026-03-05T17:14:12+03:00,2833.29,SAR,5411,
T-20075,M-1005,2026-03-05T15:04:18Z,280.22,SAR,5541,4.2033
T-20076,M-1006,2026-03-05T18:39:54+03:00,332.78,SAR,5999,6.9884
T-20077,M-1003,2026-03-05T16:22:06Z,4385.95,SAR,4511,74.5612
T-20078,M-1008,2026-03-05T19:36:55+03:00,4983.10,SAR,5732,89.6958
T-20079,M-1003,2026-03-05T19:45:23+03:00,3609.93,SAR,4511,61.3688
T-20080,M-1001,2026-03-05T19:51:29+03:00,-4532.91,SAR,5411,0.0000
T-20081,M-1004,2026-03-05T17:10:21Z,2772.49,SAR,0742,55.4498
T-20082,M-1002,2026-03-05T20:55:59+03:00,4598.27,SAR,5812,101.1619
T-20083,M-1006,2026-03-05T21:05:57+03:00,2341.15,SAR,5999,49.1642
T-20084,M-1002,2026-03-05T18:07:17Z,4380.37,SAR,5812,96.3681
T-20085,M-1001,2026-03-05T21:40:30+03:00,2392.17,SAR,5411,40.6669
T-20086,M-1007,2026-03-05T20:45:47Z,1869.29,SAR,0763,35.5165
T-20087,M-1007,2026-03-05T21:41:13Z,4937.69,SAR,0763,93.8161
T-20088,M-1002,2026-03-05T22:52:03Z,4511.99,SAR,5812,99.2638
T-20089,M-1008,2026-03-06T04:10:59+03:00,4096.16,SAR,5732,73.7309
T-20090,M-1004,2026-03-06T01:15:36Z,1258.64,SAR,0742,25.1728
T-20091,M-1001,2026-03-06T05:56:25+03:00,218.02,SAR,5411,3.7063
T-20092,M-1001,2026-03-06T03:17:53Z,1827.39,SAR,5411,31.0656
T-20093,M-1001,2026-03-06T08:04:24+03:00,150.16,SAR,5411,2.5527
T-20093,M-1001,2026-03-06T08:04:24+03:00,150.16,SAR,5411,2.5527
T-20094,M-1006,2026-03-06T09:42:36+03:00,146.12,SAR,5999,3.0685
T-20095,M-1001,2026-03-06T10:47:36+03:00,-4293.31,SAR,5411,0.0000
T-20096,M-1004,2026-03-06T12:55:16+03:00,4325.25,SAR,0742,86.5050
T-20097,M-1006,2026-03-06T10:26:25Z,4092.86,SAR,5999,85.9501
T-20098,M-1001,2026-03-06T13:27:44+03:00,2830.27,SAR,5411,48.1146
T-20099,M-1002,2026-03-06T11:10:56Z,2470.40,SAR,5812,54.3488
T-20100,M-1001,2026-03-06T11:22:58Z,1384.51,SAR,5411,23.5367
T-20101,M-1003,2026-03-06T15:56:14+03:00,747.83,SAR,4511,12.7131
T-20102,M-1002,2026-03-06T18:00:21+03:00,2940.90,SAR,5812,64.6998
T-20103,M-1001,2026-03-06T20:14:12+03:00,-2833.29,SAR,5411,48.1659
T-20104,M-1005,2026-03-06T23:59:28+03:00,2399.38,SAR,5541,35.9907
T-20105,M-1002,2026-03-07T01:11:56+03:00,3788.58,SAR,5812,83.3488
T-20106,M-1001,2026-03-07T03:05:15+03:00,3109.24,SAR,5411,52.8571
T-20107,M-1005,2026-03-07T00:28:47Z,1453.18,SAR,5541,
T-20108,M-1004,2026-03-07T01:29:05Z,234.30,SAR,0742,4.6860
T-20109,M-1001,2026-03-07T07:27:06+03:00,4201.51,SAR,5411,71.4257
T-20110,M-1002,2026-03-07T08:24:57+03:00,3355.30,SAR,5812,73.8166
T-20111,M-1006,2026-03-07T11:42:36+03:00,-146.12,SAR,5999,0.0000
